,0
0,2.4776023215066132e-05
1,2.665211337258232e-06
2,6.53155845319304e-07
3,2.3455394595777784e-05
4,9.066009121195452e-06
5,5.491690437935423e-06
6,2.389648509802891e-06
7,4.80545359943584e-06
8,6.644348701429531e-06
9,1.3014236790649293e-05
10,1.1373371153012486e-05
11,1.7748683126904921e-06
12,9.960909959941427e-06
13,1.122828709655501e-06
14,4.587074778582904e-06
15,2.1856633575987892e-06
16,2.8060289618024924e-06
17,1.9395987938539017e-06
18,1.8389633984744175e-05
19,1.4151635519403028e-05
20,2.8928114948653314e-06
21,4.046362869808328e-07
22,3.3424662616328146e-06
23,1.2569657870371378e-05
24,1.0691490743260142e-05
25,7.705526624456997e-06
26,9.839915042920968e-09
27,2.7103785873147087e-05
28,1.424727630924939e-06
29,7.742366507755714e-06
30,8.139658167543762e-06
31,7.642483395987908e-06
32,9.129353498693708e-06
33,6.544748527498307e-06
34,9.914771767961367e-06
35,8.63219743952191e-06
36,3.401607687171328e-06
37,5.225826846388523e-06
38,1.728956562318755e-05
39,5.4687300166928944e-06
40,1.020081771936899e-06
41,9.384176795439996e-06
42,7.500799212543054e-06
43,1.7109359519034255e-05
44,4.885729716771104e-06
45,7.5086778400225835e-06
46,1.8422141248990417e-06
47,2.937463551483461e-06
48,1.6438135789104977e-05
49,4.5203065454166505e-06
50,9.855075438946649e-06
51,6.5009222146866085e-06
52,1.8596014873135893e-06
53,8.632008497121363e-06
54,4.873438450109176e-06
55,7.555130317288165e-06
56,3.0975701283051417e-07
57,1.618141185793064e-05
58,4.300058800564644e-06
59,1.402582661113327e-06
60,2.791915927755191e-05
61,9.913730702301807e-06
62,7.889066478721296e-07
63,1.3773044227358216e-05
64,5.645793167981369e-06
65,3.121526161888469e-06
66,1.266775002008978e-05
67,1.0328512810831198e-05
68,2.922479878843439e-06
69,1.6415869573924566e-05
70,1.8036009184021726e-05
71,1.1076484166341029e-07
72,1.7294498272493294e-05
73,5.9151139629124925e-06
74,2.0675285513815682e-05
75,1.2136960397871253e-05
76,8.12240033179373e-06
77,1.3906936812202401e-05
78,1.5813243519001349e-06
79,1.6774749857867953e-05
80,6.779482827306373e-06
81,1.666359775310692e-05
82,1.2619563271948036e-05
83,1.6162359775106037e-05
84,1.0149403829110061e-06
85,3.4523907496930085e-06
86,9.845543222344077e-07
87,1.4252616220498763e-05
88,7.05778044367299e-06
89,1.7143140222113202e-05
90,2.256852431709328e-06
91,3.50511137096144e-05
92,1.2306017343439526e-05
