               density               pressure           Fermi energy
            (kg m**-3)                   (Pa)             (m_e c**2)

 1.000000000000000e+05  6.810445162871599e+14  6.906598352435372e-04
 1.123654800138752e+05  8.271107892790671e+14  7.464822319819857e-04
 1.262600109874855e+05  1.004504465392958e+15  8.068164590290911e-04
 1.418726674116596e+05  1.219944454930751e+15  8.720271838646402e-04
 1.594159037456000e+05  1.481590699085728e+15  9.425085481200827e-04
 1.791284454622002e+05  1.799353233456791e+15  1.018686549818973e-03
 2.012785375849938e+05  2.185267537619768e+15  1.101021618161356e-03
 2.261675949222865e+05  2.653950387384812e+15  1.190011396414407e-03
 2.541343036702639e+05  3.223153475464997e+15  1.286193749729475e-03
 2.855592301990106e+05  3.914435769328395e+15  1.390150016065120e-03
 3.208699997370450e+05  4.753980072260457e+15  1.502508519865162e-03
 3.605471154250506e+05  5.773584715461333e+15  1.623948369728788e-03
 4.051304969235378e+05  7.011867942214276e+15  1.755203563026353e-03
 4.552268275507310e+05  8.515730601022946e+15  1.897067422269661e-03
 5.115178099293145e+05  1.034213254824909e+16  2.050397390050661e-03
 5.747694424835347e+05  1.256025004275081e+16  2.216120211529812e-03
 6.458424430196978e+05  1.525409584536129e+16  2.395237535797683e-03
 7.257039612324216e+05  1.852570126131884e+16  2.588831969965082e-03
 8.154407395185153e+05  2.249898064774487e+16  2.798073622573430e-03
 9.162739011886731e+05  2.732442475710977e+16  3.024227175874534e-03
 1.029575567312513e+06  3.318480068037168e+16  3.268659529725452e-03
 1.156887528316283e+06  4.030207427914683e+16  3.532848063299154e-03
 1.299942224413245e+06  4.894581729889934e+16  3.818389564545713e-03
 1.460686320364989e+06  5.944341758847946e+16  4.127009881374852e-03
 1.641307195375130e+06  7.219247914525699e+16  4.460574352892684e-03
 1.844262708585533e+06  8.767588164628714e+16  4.821099083740420e-03
 2.072314645219030e+06  1.064800698558475e+17  5.210763129678506e-03
 2.328566298498197e+06  1.293172656335220e+17  5.631921668067268e-03
 2.616504698748824e+06  1.570524438382733e+17  6.087120232848231e-03
 2.940048064334708e+06  1.907360938598445e+17  6.579110100063928e-03
 3.303599120128340e+06  2.316440076435523e+17  7.110864916908314e-03
 3.712105009066357e+06  2.813256012078932e+17  7.685598674815624e-03
 4.171124612056516e+06  3.416625998664628e+17  8.306785135219491e-03
 4.686904192314193e+06  4.149403098982357e+17  8.978178825393696e-03
 5.266462393484280e+06  5.039341761308899e+17  9.703837731276267e-03
 5.917685748188819e+06  6.120149038665327e+17  1.048814782443495e-02
 6.649435996665046e+06  7.432761267167462e+17  1.133584957141819e-02
 7.471670675868082e+06  9.026894558560097e+17  1.225206658571719e-02
 8.395578619995104e+06  1.096292783293100e+18  1.324233659551530e-02
 9.433732216299774e+06  1.331418971279362e+18  1.431264491439745e-02
 1.060025848806882e+07  1.616973589626066e+18  1.546946061732058e-02
 1.191103133283008e+07  1.963772220427225e+18  1.671977564049746e-02
 1.338388753173756e+07  2.384950105841541e+18  1.807114704151801e-02
 1.503886946955410e+07  2.896459654631510e+18  1.953174267513372e-02
 1.689849786812455e+07  3.517674650869811e+18  2.111039056077501e-02
 1.898807824465261e+07  4.272124049643053e+18  2.281663224018532e-02
 2.133604526501411e+07  5.188383152781240e+18  2.466078044767125e-02
 2.397434967801078e+07  6.301155918520996e+18  2.665398144153569e-02
 2.693889309590175e+07  7.652589398342429e+18  2.880828237343220e-02
 3.027001653763461e+07  9.293870086199736e+18  3.113670410282942e-02
 3.401304938279253e+07  1.128716264299609e+19  3.365331989668534e-02
 3.821892620633115e+07  1.370796442685590e+19  3.637334049000132e-02
 4.294487988789272e+07  1.664796500868605e+19  3.931320602137330e-02
 4.825522042741279e+07  2.021851897918910e+19  4.249068539920858e-02
 5.422221006501592e+07  2.455486358233846e+19  4.592498369919129e-02
 6.092704661368674e+07  2.982124092115038e+19  4.963685824211878e-02
 6.846096838574658e+07  3.621711874290139e+19  5.364874405369870e-02
 7.692649574879131e+07  4.398474542040671e+19  5.798488946459981e-02
 8.643882620598261e+07  5.341832527959423e+19  6.267150267034181e-02
 9.712740198471168e+07  6.487516179535844e+19  6.773691013684799e-02
 1.091376714651274e+08  7.878919071208115e+19  7.321172780908521e-02
 1.226330684177564e+08  9.568741566527906e+19  7.912904615759603e-02
 1.377972359833554e+08  1.162098688151125e+20  8.552463018136743e-02
 1.548365256585496e+08  1.411338525147988e+20  9.243713557587890e-02
 1.739828052930362e+08  1.714033801841677e+20  9.990834237287316e-02
 1.954966143091260e+08  2.081649314821740e+20  1.079834074640011e-01
 2.196707090793235e+08  2.528108760306746e+20  1.167111375346218e-01
 2.468340467068651e+08  3.070322103935659e+20  1.261442840574045e-01
 2.773562614198418e+08  3.728826057614741e+20  1.363398621287093e-01
 3.116526944929436e+08  4.528561921931193e+20  1.473594950748331e-01
 3.501900461431706e+08  5.499820255462251e+20  1.592697869109638e-01
 3.934927263095845e+08  6.679388150994713e+20  1.721427249040308e-01
 4.421499907374487e+08  8.111942572548460e+20  1.860561146725874e-01
 4.968239594734387e+08  9.851742526824777e+20  2.010940504535281e-01
 5.582586268862700e+08  1.196468416126328e+21  2.173474233779867e-01
 6.272899858196231e+08  1.453079662699243e+21  2.349144708284973e-01
 7.048574036451889e+08  1.764727323923966e+21  2.539013701978041e-01
 7.920164050192541e+08  2.143215274253294e+21  2.744228806380626e-01
 8.899530352885225e+08  2.602879011120547e+21  2.966030366792548e-01
 1.000000000000000e+09  3.161128621991699e+21  3.205758979091243e-01
